Date,GORH,GPRH,GPTH,LPRH,OPRH,OPT,WCTH,WIRH,WITH,WPRH,WPTH
36598.21359,184,2168141.5,88304792,12321.04688,11783.37695,479917.3438,0.043638337,5000,201067.9375,537.6699829,22465.86914
36603.21359,184,2168141.5,99145496,12321.04688,11783.37695,538834.25,0.043638337,5000,226067.9375,537.6699829,25154.21875
36608.21359,184,2168141.5,109986200,12321.04688,11783.37695,597751.125,0.043638337,5000,251067.9375,537.6699829,27842.57031
36612.6068,184,2168141.5,119511296,12321.04688,11783.37695,649517.875,0.043638337,5000,273033.9688,537.6699829,30204.66406
36617,184,2168141.5,129036384,12321.04688,11783.37695,701284.6875,0.043638337,5000,295000,537.6699829,32566.75781
36618,184.0000305,1846715.25,130883096,10518.82227,10036.49512,711321.1875,0.045853771,5000,300000,482.3276978,33049.08594
36620.99377,184.0000305,1846715.25,136411728,10518.82227,10036.49512,741368.125,0.045853771,5000,314968.8125,482.3276978,34493.0625
36625.99377,184.0000305,1846715.25,145645312,10518.82227,10036.49512,791550.5625,0.045853771,5000,339968.8125,482.3276978,36904.69922
36630.99377,184.0000305,1846715.25,154878880,10518.82227,10036.49512,841733.0625,0.045853771,5000,364968.8125,482.3276978,39316.33984
36635.99377,184.0000305,1846715.25,164112464,10518.82227,10036.49512,891915.5,0.045853771,5000,389968.8125,482.3276978,41727.97656
36640.99377,184.0000305,1846715.25,173346032,10518.82227,10036.49512,942098,0.045853771,5000,414968.8125,482.3276978,44139.61719
36643.99688,184.0000305,1846715.25,178891936,10518.82227,10036.49512,972238.75,0.045853771,5000,429984.4063,482.3276978,45588.10156
36647,184.0000305,1846715.25,184437840,10518.82227,10036.49512,1002379.563,0.045853771,5000,445000,482.3276978,47036.58984
36648,184,1589155.75,186026992,9106.649414,8636.71582,1011016.25,0.051603306,5000,450000,469.9332275,47506.52344
36651,184,1589155.75,190794464,9106.649414,8636.71582,1036926.438,0.051603306,5000,465000,469.9332275,48916.32422
36656,184,1589155.75,198740240,9106.649414,8636.71582,1080110,0.051603306,5000,490000,469.9332275,51265.98828
36661,184,1589155.75,206686016,9106.649414,8636.71582,1123293.625,0.051603306,5000,515000,469.9332275,53615.65625
36666,184,1589155.75,214631808,9106.649414,8636.71582,1166477.125,0.051603306,5000,540000,469.9332275,55965.32031
36671,184,1589155.75,222577584,9106.649414,8636.71582,1209660.75,0.051603306,5000,565000,469.9332275,58314.98828
36674.5,184,1589155.75,228139632,9106.649414,8636.71582,1239889.25,0.051603306,5000,582500,469.9332275,59959.75391
36674.85001,184,1589155.75,228695824,9106.649414,8636.71582,1242912.125,0.051603306,5000,584250,469.9332275,60124.23047
36675.28751,184,1589155.75,229391088,9106.649414,8636.71582,1246690.625,0.051603306,5000,586437.5,469.9332275,60329.82422
36675.9711,184,1589155.75,230477424,9106.649414,8636.71582,1252594.625,0.051603306,5000,589855.4375,469.9332275,60651.07031
36676.98555,184,1589155.75,232089552,9106.649414,8636.71582,1261356.25,0.051603306,5000,594927.75,469.9332275,61127.79297
36678,184,1589155.75,233701664,9106.649414,8636.71582,1270117.75,0.051603306,5000,600000,469.9332275,61604.51953
36679,184,1437154.375,235138816,8335.935547,7810.62207,1277928.375,0.063017927,9833.333008,609833.3125,525.3133545,62129.83203
36682,184,1437154.375,239450288,8335.935547,7810.62207,1301360.25,0.063017927,9833.333008,639333.3125,525.3133545,63705.77344
36687,184,1437154.375,246636064,8335.935547,7810.62207,1340413.375,0.063017927,9833.333008,688500,525.3133545,66332.33594
36692,184,1437154.375,253821824,8335.935547,7810.62207,1379466.5,0.063017927,9833.333008,737666.625,525.3133545,68958.90625
36697,184,1437154.375,261007600,8335.935547,7810.62207,1418519.625,0.063017927,9833.333008,786833.3125,525.3133545,71585.47656
36702,184,1437154.375,268193376,8335.935547,7810.62207,1457572.625,0.063017927,9833.333008,836000,525.3133545,74212.03906
36705,184,1437154.375,272504832,8335.935547,7810.62207,1481004.5,0.063017927,9833.333008,865500,525.3133545,75787.98438
