OPR,OPRH,GPR,GPRH,WCT,WCTH,OPT,OPTH,GPT,GPTH,WPT,WPTH,Date,BHP,GOR,PI,Temperature
0,0,0,0,0,0,0,0,0,0,0,0,36526,0,0,0,415
0,0,0,0,0,0,0,0,0,0,0,0,36527,0,0,0,414.9815
0,0,0,0,0,0,0,0,0,0,0,0,36530,0,0,0,414.963
0,0,0,0,0,0,0,0,0,0,0,0,36530.5,0,0,0,414.9445
0,0,0,0,0,0,0,0,0,0,0,0,36531.125,0,0,0,414.926
0,0,0,0,0,0,0,0,0,0,0,0,36532.10156,0,0,0,414.9075
0,0,0,0,0,0,0,0,0,0,0,0,36533.62744,0,0,0,414.889
0,0,0,0,0,0,0,0,0,0,0,0,36536.01163,0,0,0,414.8705
0,0,0,0,0,0,0,0,0,0,0,0,36539.73692,0,0,0,414.852
0,0,0,0,0,0,0,0,0,0,0,0,36544.73692,0,0,0,414.8335
0,0,0,0,0,0,0,0,0,0,0,0,36549.73692,0,0,0,414.815
0,0,0,0,0,0,0,0,0,0,0,0,36553.36846,0,0,0,414.7965
0,0,0,0,0,0,0,0,0,0,0,0,36553.73161,0,0,0,414.778
0,0,0,0,0,0,0,0,0,0,0,0,36554.18556,0,0,0,414.7595
0,0,0,0,0,0,0,0,0,0,0,0,36554.89484,0,0,0,414.741
0,0,0,0,0,0,0,0,0,0,0,0,36555.94742,0,0,0,414.7225
0,0,0,0,0,0,0,0,0,0,0,0,36557,0,0,0,414.704
2575.553955,3862.069092,473901.9375,710620.6875,0.483108371,0.097422943,2575.553955,3862.069092,473901.9375,710620.6875,2407.219727,416.8664856,36558,157.2088013,184,19.29573059,414.6855
2603.116211,3862.069092,478973.375,710620.6875,0.476030648,0.097422943,3181.473389,4761.03125,585391.125,876029.75,2957.702881,513.899231,36558.23277,155.8249512,184,19.38964653,414.667
2624.823242,3862.069092,482967.5,710620.6875,0.470403582,0.097422943,3945.188721,5884.733887,725914.75,1082791,3636.057861,635.1901855,36558.52373,154.5593414,184,19.49171638,414.6485
2650.37915,3862.069092,487669.75,710620.6875,0.463744491,0.097422943,5150.112305,7640.519531,947620.625,1405855.625,4678.054688,824.7073364,36558.97835,153.3016815,184,19.63622665,414.63
2683.242432,3862.069092,493716.625,710620.6875,0.455127895,0.097422943,7056.149414,10383.93457,1298331.5,1910643.875,6270.154785,1120.827759,36559.6887,151.845047,184,19.84068871,414.6115
2726.369385,3862.069092,501651.9688,710620.6875,0.443726957,0.097422943,10082.2002,14670.52051,1855124.875,2699375.75,8683.969727,1583.515991,36560.79862,150.1151428,184,20.12986374,414.593
2733.094727,3862.069092,502889.4375,710620.6875,0.441971898,0.097422943,10556.18652,15340.2998,1942338.375,2822615,9059.378906,1655.811035,36560.97204,149.8800354,184,20.17432404,414.5745
2741.076416,3862.069092,504358.0938,710620.6875,0.439847559,0.097422943,11150.40039,16177.52344,2051673.75,2976664.25,9525.972656,1746.179932,36561.18882,149.5541229,184,20.22855377,414.556
2753.201904,3862.069092,506589.1563,710620.6875,0.436611414,0.097422943,12082.9668,17485.68555,2223266,3217366,10248.68652,1887.381104,36561.52754,149.0881805,184,20.31139374,414.5375
2771.305176,3862.069092,509920.125,710620.6875,0.431763589,0.097422943,13549.68262,19529.68945,2493141.5,3593462.75,11363.14258,2108.008057,36562.05679,148.4974213,184,20.44851303,414.519
2797.661133,3862.069092,514769.6563,710620.6875,0.424670905,0.097422943,15863.2207,22723.44531,2918832.75,4181113.75,13070.84766,2452.737793,36562.88375,147.6308289,184,20.64725685,414.5005
2834.93457,3862.069092,521627.9688,710620.6875,0.414568961,0.097422943,19526.28711,27713.6875,3592836.75,5099318.5,15664.82227,2991.377686,36564.17587,146.3780823,184,20.92223167,414.482
2884.519531,3862.069092,530751.5625,710620.6875,0.400999844,0.097422943,25349.93555,35510.94141,4664388,6534013,19563.45508,3833.002686,36566.1948,144.7335968,184,21.29906273,414.4635
2947.399414,3862.069092,542321.5,710620.6875,0.383575052,0.097422943,34647.74609,47694.15234,6375185,8775724,25349.08789,5148.041992,36569.34938,142.4286804,184,21.7612114,414.445
2957.241943,3862.069092,544132.5,710620.6875,0.380891949,0.097422943,36105.37891,49597.77734,6643390,9125991,26245.86328,5353.516602,36569.84228,142.1566162,184,21.83811951,414.4265
2968.278564,3862.069092,546163.25,710620.6875,0.377802312,0.097422943,37934.22266,51977.3125,6979897,9563825,27356.34961,5610.360352,36570.45841,141.7707672,184,21.92963982,414.408
2984.344238,3862.069092,549119.3125,710620.6875,0.373287857,0.097422943,40807.25781,55695.33203,7508535,10247941,29067.61133,6011.678711,36571.42111,141.1912384,184,22.05722046,414.3895
3006.484619,3862.069092,553193.1875,710620.6875,0.367040604,0.097422943,45329.67578,61504.74219,8340660,11316872,31690.07227,6638.738281,36572.92533,140.2723694,184,22.22272682,414.371
3009.941162,3862.069092,553829.1875,710620.6875,0.366091996,0.097422943,46037.11719,62412.46094,8470829,11483892,32098.63086,6736.716309,36573.16037,140.1464233,184,22.2480545,414.3525
3013.993896,3862.069092,554574.875,710620.6875,0.364945143,0.097422943,46922.60547,63547.10938,8633760,11692668,32607.49219,6859.188477,36573.45416,139.9592896,184,22.27838326,414.334
3020.214111,3862.069092,555719.375,710620.6875,0.363181204,0.097422943,48309.04297,65320,8888864,12018880,33398.18359,7050.552246,36573.91322,139.6752167,184,22.32252502,414.3155
3029.524658,3862.069092,557432.5625,710620.6875,0.360536337,0.097422943,50482.02344,68090.14063,9288693,12528586,34623.33594,7349.557129,36574.63048,139.2129059,184,22.38342285,414.297
3042.256348,3862.069092,559775.1875,710620.6875,0.356911868,0.097422943,53891.58203,72418.48438,9916051,13325001,36515.62891,7816.75293,36575.75122,138.5174408,184,22.46585464,414.2785
3060.004639,3862.069092,563040.875,710620.6875,0.35184297,0.097422943,59250.08984,79181.53125,10902017,14569401,39424.41797,8546.746094,36577.50236,137.3975067,184,22.56542015,414.26
3082.252686,3862.069092,567134.5,710620.6875,0.345464647,0.097422943,67683.63281,89748.78125,12453789,16513775,43875.65625,9687.361328,36580.23852,135.4904938,184,22.63840485,414.2415
3100.985352,3862.069092,570581.3125,710620.6875,0.340090513,0.097422943,76616.76563,100874.3906,14097485,18560888,48479.42578,10888.24414,36583.11926,133.2657776,184,22.62951088,414.223
3116.303955,3862.069092,573399.9375,710620.6875,0.335687637,0.097422943,85594.02344,112000,15749300,20608000,53015.77734,12089.12793,36586,130.9025421,184,22.56184769,414.2045
3150.39917,3949.519043,579673.4375,726711.5,0.335744351,0.081676275,85909.0625,112394.9531,15807267,20680672,53175.01563,12124.25488,36586.1,129.2974701,184,22.56357384,414.186
3151.356934,3949.519043,579849.6875,726711.5,0.33547008,0.081676275,86302.98438,112888.6484,15879749,20771510,53373.875,12168.16406,36586.225,129.1530151,184,22.56248665,414.1675
3152.626465,3949.519043,580083.25,726711.5,0.335106432,0.081676275,86918.72656,113660.0391,15993046,20913446,53684.21094,12236.77246,36586.42031,128.9685211,184,22.55853081,414.149
3154.392334,3949.519043,580408.1875,726711.5,0.334600747,0.081676275,87881.375,114865.3359,16170173,21135220,54168.28125,12343.97266,36586.72549,128.6976471,184,22.55123711,414.1305
3156.920166,3949.519043,580873.3125,726711.5,0.333876938,0.081676275,89386.71094,116748.6094,16447155,21481744,54922.79297,12511.47168,36587.20232,128.2828522,184,22.53802109,414.112
3160.503174,3949.519043,581532.5625,726711.5,0.332850903,0.081676275,91741.46875,119691.2344,16880430,22023186,56097.62109,12773.19043,36587.94738,127.6427231,184,22.5145607,414.0935
3165.691406,3949.519043,582487.1875,726711.5,0.331364661,0.081676275,95426.82031,124289.0781,17558534,22869190,57924.01953,13182.12598,36589.11154,126.6176682,184,22.46854782,414.075
3172.323975,3949.519043,583707.625,726711.5,0.329465598,0.081676275,101197.2422,131473.2031,18620292,24191070,60759.30469,13821.08691,36590.93053,125.0080948,184,22.38050461,414.0565
3181.236084,3949.519043,585347.4375,726711.5,0.326913059,0.081676275,110238.8594,142698.4219,20283950,26256508,65150.74609,14819.46387,36593.7727,122.5849609,184,22.24199867,414.038
3193.994141,3949.519043,587694.9375,726711.5,0.323252052,0.081676275,124423.0391,160237.8125,22893840,29483756,71925.89063,16379.42773,36598.21359,119.1204605,184,22.05832481,414.0195
3210.059326,3949.519043,590650.9375,726711.5,0.318638653,0.081676275,140473.3438,179985.4063,25847094,33117314,79431.8125,18135.79102,36603.21359,115.5346222,184,21.90328217,414.001
3229.532227,3949.519043,594233.9375,726711.5,0.313016117,0.081676275,156621,199733,28818264,36750872,86789.30469,19892.1543,36608.21359,112.3654709,184,21.82790565,413.9825
3249.668701,3949.519043,597939.0625,726711.5,0.307164878,0.081676275,170897.4688,217084.0469,31445132,39943464,93118.70313,21435.36719,36612.6068,109.9167786,184,21.82698822,413.964
3272.906738,3949.519043,602214.6875,726711.5,0.300349683,0.081676275,185276.0156,234435.0938,34090784,43136056,99291.20313,22978.57813,36617,107.776207,183.9999542,21.8887043,413.9455
3059.41333,3732.4729,562932.0625,686775.125,0.298557013,0.063599601,188335.4219,238167.5625,34653716,43822832,100593.3906,23232.08594,36618,118.080719,184,21.86738586,413.927
