OPR,OPRH,GPR,GPRH,WCT,WCTH,OPT,OPTH,GPT,GPTH,WPT,WPTH,Date,BHP,GOR,PI,Temperature
3760.726318,3862.069092,1964969.25,710620.6875,0.154745057,0.009547697,197274.9219,72418.48438,36298584,13325001,41231.16406,698.0949707,49.75121689,256.1055603,184,676.3894653,414.2785
3758.152588,3862.069092,1967849.25,710620.6875,0.152940303,0.009547697,216003.1094,79181.53125,39744572,14569401,44612.62109,763.2888794,51.50235748,253.9009247,184,659.7356567,414.26
3753.794434,3862.069092,1971278,710620.6875,0.150792226,0.009547697,245316.9063,89748.78125,45138312,16513775,49817.81641,865.1544189,54.23852158,250.5302429,184,633.7755127,414.2415
3748.663086,3862.069092,1973925.125,710620.6875,0.149144799,0.009547697,276221.0625,100874.3906,50824676,18560888,55234.94531,972.4023438,57.1192627,247.0493774,184,605.8071289,414.223
3742.864014,3862.069092,1975821.25,710620.6875,0.147971615,0.009547697,307154.875,112000,56516500,20608000,60607.21875,1079.650269,60,243.6261902,184,578.3564453,414.2045
3723.598877,3833.85791,2008603.5,705429.875,0.147200748,0.01296559,308246.5313,112383.3906,56717360,20678542,60795.64453,1084.686401,60.09999847,243.5649719,184,577.4172974,414.186
3723.314941,3833.85791,2008741,705429.875,0.147115812,0.01296559,309611.1563,112862.625,56968452,20766722,61031.03125,1090.981567,60.22499847,243.425293,184,576.2729492,414.1675
3722.911621,3833.85791,2008911.625,705429.875,0.14701046,0.01296559,311743.5625,113611.4219,57360816,20904500,61398.55078,1100.817749,60.42031097,243.2027893,184,574.4243164,414.149
3722.255859,3833.85791,2009131.5,705429.875,0.146875024,0.01296559,315075.8438,114781.4219,57973956,21119782,61972.23828,1116.186768,60.72548676,242.8503723,184,571.5288086,414.1305
3721.214844,3833.85791,2009428,705429.875,0.146692649,0.01296559,320283.2813,116609.5469,58932124,21456156,62867.45313,1140.200806,61.20232391,242.2969055,184,566.9790649,414.112
3719.535889,3833.85791,2009813.125,705429.875,0.146456629,0.01296559,328421.5,119465.9922,60429552,21981742,64263.85938,1177.7229,61.94738388,241.4284973,184,559.8171387,414.0935
